id,age,age_cat,sex,traploc,organ,THg
RF-18-CH-08,10,adult,M,Line 25,claw,2134.761449
RF-18-CH-09,7,adult,M,Button Bay,claw,523.9863
RF-18-CH-10,8,adult,M,Line 25,claw,1098.690824
RF-18-CH-11,0,juvenile,M,Line 25,claw,352.8503
RF-18-CH-13,10,adult,M,North River,claw,590.924
RF-18-CH-16,5,adult,M,Twin Lakes,claw,1036.685066
RF-18-CH-19,1,adult,M,Town of Churchill,claw,1177.1364
RF-18-CH-23,10,adult,M,North River,claw,1613.5977
RF-18-CH-26,0,juvenile,M,Town of Churchill,claw,722.31215
RF-18-CH-27,8,adult,M,North River,claw,553.1556
RF-18-CH-31,0,juvenile,M,Town of Churchill,claw,242.5655
RF-18-CH-34,0,juvenile,M,Town of Churchill,claw,NA
RF-18-CH-35,5,adult,M,Town of Churchill,claw,NA
RF-18-CH-36,0,juvenile,M,Town of Churchill,claw,NA
RF-18-CH-37,7,adult,M,Town of Churchill,claw,1054.765828
RF-17-CH-02,0,juvenile,M,Seal River,brain,NA
RF-17-CH-03,5,adult,M,Seal River,brain,95.56458402
RF-17-CH-04,7,adult,M,Goose Creek,brain,79.32032219
RF-17-CH-12,3,adult,M,Seal River,brain,94.0306484
RF-17-CH-13,0,juvenile,M,Button Bay,brain,NA
RF-17-CH-18,9,adult,M,Southknife Lake,brain,119.8427216
RF-17-CH-20,3,adult,M,Southknife Lake,brain,117.1630466
RF-17-CH-23,5,adult,M,Southknife Lake,brain,45.81868898
RF-18-CH-01,0,juvenile,M,Button Bay,brain,15.44815
RF-18-CH-02,0,juvenile,M,Town of Churchill,brain,36.97043333
RF-18-CH-03,8,adult,M,Town of Churchill,brain,167.604
RF-18-CH-05,9,adult,M,Seal River,brain,NA
RF-18-CH-06,0,juvenile,M,Seal River,brain,45.7129
RF-18-CH-07,0,juvenile,M,Twin Lakes,brain,18.4913
RF-18-CH-08,10,adult,M,Line 25,brain,132.12225
RF-18-CH-09,7,adult,M,Button Bay,brain,126.8838
RF-18-CH-10,8,adult,M,Line 25,brain,38.07345
RF-18-CH-11,0,juvenile,M,Line 25,brain,20.03205
RF-18-CH-13,10,adult,M,North River,brain,269.442975
RF-18-CH-16,5,adult,M,Twin Lakes,brain,94.05335
RF-18-CH-19,1,adult,M,Town of Churchill,brain,67.9639
RF-18-CH-23,10,adult,M,North River,brain,179.81535
RF-18-CH-26,0,juvenile,M,Town of Churchill,brain,17.4542
RF-18-CH-27,8,adult,M,North River,brain,158.4412
RF-18-CH-31,0,juvenile,M,Town of Churchill,brain,27.05
RF-18-CH-34,0,juvenile,M,Town of Churchill,brain,NA
RF-18-CH-35,5,adult,M,Town of Churchill,brain,31.91671193
